month,アメリカ合衆国,オーストラリア,台湾,中華人民共和国,タイ,香港,大韓民国,シンガポール
12-Aug,49171922,26340071,94590771,156240871,60798441,66252524,83092041,27492894
12-Sep,55425553,36140241,97834288,84001724,88439712,75978641,87631229,29091741
12-Oct,56629758,40049371,103367812,69291641,157488912,78040706,93480094,53054012
12-Nov,47490087,41192971,163181941,59520106,116607376,82751224,121145265,63097565
12-Dec,63525540,58901488,155653129,92870059,177378524,120890276,122495218,99181071
13-Jan,49715491,89089476,190887224,75441600,185270394,109603600,145044753,60110659
13-Feb,45020309,57927806,295630618,106439194,243490929,175279700,172073176,42625100
13-Mar,84575213,73160200,367051488,114000312,365264012,200023835,240051153,78116265
13-Apr,72288351,93535841,508157906,147593171,541049935,302909688,204922882,127568547
13-May,68134947,70028735,573145682,119231135,427778165,265636047,231403106,130134329
13-Jun,88887431,58906500,495434847,148297382,219410188,276838388,210552600,95398888
13-Jul,78674507,55863894,402260500,191606165,240897047,334063906,217259041,99477424
13-Aug,83608273,32580271,298226471,243959982,171365924,209949000,192955988,68997941
13-Sep,95312960,58776194,390051118,200898653,219170424,208062729,138365159,77541776
13-Oct,90364847,52151259,325691547,238657388,360159521,190677094,129598282,88614535
13-Nov,76182491,47761671,533125241,281773094,327603594,202014835,153764712,105269006
13-Dec,106319147,91292488,897358412,249537365,345028418,227697924,154676812,166381032
14-Jan,76950737,116640227,794930553,321223613,258844733,249898047,293774767,110497560
14-Feb,55947813,70588347,621988273,384171760,288795467,222775947,204091160,107971107
14-Mar,97605100,71852253,641420173,458746240,418853073,245691240,255977973,122614860
14-Apr,97632094,104082167,619585040,552930320,749333487,214786627,162687200,172615887
14-May,86005200,79049513,534832173,344103947,524708338,211305807,171940927,144673060
14-Jun,95065630,60006147,531404300,354554853,288984013,196056927,193762620,137590833
14-Jul,113806337,70045827,594699233,767769227,271306287,272101027,200047080,107620033
14-Aug,84561809,36343213,501712940,735747687,216688460,221754060,193704113,92997720
14-Sep,84019926,95657980,554407933,798756193,231781207,258070320,260665793,160312860
14-Oct,126261917,106753473,997238873,1033581753,611348780,285556567,338453347,195640787
14-Nov,149161107,106600313,1466322947,1181313113,650804462,473038153,364506013,272459333
14-Dec,161443943,147461573,1547160717,1126603747,742609093,712236300,331534707,451864727
15-Jan,122480893,171227373,1471211833,1137365200,599906520,644569500,368798581,229232027
15-Feb,113299980,96870000,1785200453,2667803313,506281573,698037007,361891127,222131200
15-Mar,148513778,131829367,1768208120,2634709913,980168081,700066067,332756000,256176493
15-Apr,189135917,159252913,2465563487,3572131253,1373093540,808368047,327928560,337482313
15-May,179096030,125533800,2375592347,2137835747,996731387,571783487,392712773,267445080
15-Jun,187409972,114778833,3339225227,2254433967,585303520,591207287,288494933,187409972
15-Jul,197356115,102029064,3240584260,3548715180,598656027,860284680,296911300,230584193
15-Aug,173018093,84816273,2955352420,3471715087,402566887,795953480,285177393,224936313
15-Sep,160436235,104174820,2436377055,1682910347,301418793,516992067,275255507,218990140
15-Oct,187479241,123266120,2821861700,2493411707,701805413,628577180,321655773,287100567
15-Nov,189100832,130648643,2740272370,1995004884,640315988,632681632,323274734,357270112
15-Dec,217966116,181042361,2568158907,1440448314,819937640,629885697,257336030,498431113
16-Jan,159092795,168646810,2508766838,1519366141,652558404,513379779,281066452,202349151
16-Feb,113219191,79067752,2409342010,1822295201,431045750,405276002,271718570,183085296
16-Mar,171962432,98053548,1590571234,13902250282,539675901,345864965,241501337,225546392
