month,アメリカ合衆国,オーストラリア,中華人民共和国,大韓民国,台湾,香港,タイ,シンガポール,インドネシア
Aug-12,13176200,4618871,76447700,34526524,137250165,36075341,43656853,13796135,8043724
Sep-12,11867476,7643347,51515071,34437329,151834041,28639553,58659553,12484947,2971447
Oct-12,14283556,7217782,44148518,32897871,147466541,32690071,88621671,13541371,3363606
Nov-12,12728700,6218253,40685294,35085118,155986747,30452535,72516845,15442365,5631771
Dec-12,16510942,10271024,52705359,36731765,170372700,36323824,83772929,23119314,5264000
Jan-13,15344198,9577900,56575012,35265929,185410329,38963124,57525176,18022141,4245482
Feb-13,10745317,5877224,65722171,44619176,181884535,46119165,72792906,17207982,2394535
Mar-13,14565753,7699641,60248194,51389105,216884880,47111100,137109153,14934494,5128665
Apr-13,16053051,10300094,85555571,40639900,267458418,58317600,220875076,24707229,19262629
May-13,17651931,7939165,75045612,46231641,222702244,61087424,143296335,21791271,7045947
Jun-13,20307358,8397947,73727712,50448818,295736828,65301229,79293576,27674741,5800024
Jul-13,20079116,6586335,109170171,47727135,268536141,72792718,116627312,16856247,6990771
Aug-13,15641591,5841271,116672582,36556265,237864400,49847435,83394770,17619406,11169771
Sep-13,17102229,8730582,110857724,35632459,304839365,53678812,100944141,18233324,3913665
Oct-13,18315422,10161588,126582576,31412153,299346271,53465406,186072182,24368035,7502965
Nov-13,21337324,9893382,125157806,37593506,277129300,55726635,181870924,25214400,5689376
Dec-13,23526344,11276359,140835294,37347494,282938376,66148835,172201471,32161129,9844182
Jan-14,16482787,14561127,161979820,48888640,304121167,70358347,121668333,22508437,9240413
Feb-14,14361109,7638473,181698147,45810767,327112767,66398353,130933327,28465553,5281867
Mar-14,23374348,8322087,239627187,56969453,404106047,64424733,239653193,25713133,10857053
Apr-14,23453735,19943727,290480153,48575167,398039847,80263687,288274953,35072437,18485420
May-14,26815157,12720093,251471000,60056200,369434720,60538760,258294807,31965067,13094633
Jun-14,25187937,11036987,271449560,53014887,440710887,73347607,145249073,33057393,11899140
Jul-14,27863963,11046437,362727693,59591007,409609760,90513287,142025620,29563960,10559393
Aug-14,22218461,8863833,413690860,56239393,359863400,61446100,100318013,22186600,7238267
Sep-14,22567441,12891987,373258647,66226553,413942373,57750987,107310860,25683920,7964387
Oct-14,27044815,15195160,481893353,75758900,515120073,73328233,251933707,39304907,10979420
Nov-14,31514470,14044767,475835720,68250200,549975793,95065273,239457927,36390487,10177600
Dec-14,32694637,18601240,417040940,59414467,438538773,115764053,235156567,48984493,15848753
Jan-15,24128204,19069820,400049027,76337920,488968513,117423473,164969693,34038187,12083893
Feb-15,21460607,9855333,493970833,68315287,509752513,91557873,131017387,31546040,5430907
Mar-15,28414100,10909127,524085040,72198587,460832062,109752320,230479913,37542240,13575667
Apr-15,32878393,21140807,726882928,74117800,562740800,123124113,296071847,48073233,21607627
May-15,32465831,13012333,651226914,89876860,568344600,114293317,230044573,34885500,15817340
Jun-15,38907672,12194847,625514487,86864467,707864873,131803535,127477800,41872560,14658527
Jul-15,39111098,16054313,719970893,92928200,607076880,138770600,126288727,35203753,23113160
Aug-15,30628698,8027800,683809253,93443289,587325052,127547680,115480296,30981340,5788953
Sep-15,30727973,13605607,539870627,91524107,640484580,141050437,107282207,33486340,7672427
Oct-15,37064150,16520120,625011327,128452173,703185393,137683640,252165173,38895325,13061187
Nov-15,43914207,18495047,485143923,135949557,621753253,144129402,226412432,60339534,9863001
Dec-15,45851842,27278225,577459258,130703029,648752020,161995479,273133291,88444244,24027400
Jan-16,35094778,23346049,581368843,135736663,659223461,160025510,200251671,51966906,19602046
Feb-16,29958489,14920001,624428917,120809129,662702277,126537770,163405479,41761523,11879786
Mar-16,43824486,18472666,604298137,101832103,550684933,126723019,219267278,51459824,18026974
,,,,,,,,,
