month,アメリカ合衆国,オーストラリア,中華人民共和国,インドネシア,大韓民国,台湾,香港,タイ,シンガポール
Aug-12,139050962,82674576,339579124,250410294,244812953,530873318,354422565,1917589953,177038376
Sep-12,146793073,127478835,195391247,101023459,305600700,489480712,415345959,332488071,226392871
Oct-12,185921822,132093465,198882941,137618724,398101065,684514847,523851988,518148788,302247029
Nov-12,196280467,134648971,164085165,131177218,401555982,676148259,566663541,340277824,370151188
Dec-12,219658720,193433400,239882771,222499459,454501335,742042206,643677782,706843288,654669576
Jan-13,149999209,248144676,218243788,186176676,407968218,808792092,492484996,372271635,311592918
Feb-13,146199511,160949635,260244210,189207112,526369929,1026605078,763018338,582364594,333839724
Mar-13,257602289,163926941,289644647,332439006,594439118,824772348,834127131,622405372,614705541
Apr-13,241548658,247998753,436003378,428298124,1524231976,1164033704,950520083,1524231976,531665891
May-13,274190044,163088412,366283998,138147900,606137641,1011700951,867729312,997072164,530941541
Jun-13,248302604,159270041,352197257,198703900,524493341,1085180798,834780182,485288520,438702324
Jul-13,221436402,135219965,433701207,212449706,496389471,1054136369,887692442,935961943,321838036
Aug-13,203244620,92045065,490409731,387860576,436482288,794931082,698792005,600434639,312994624
Sep-13,216479799,154511994,442881366,119449353,503591300,1049342375,769841034,803896287,382042644
Oct-13,290208584,214982289,584279889,171970082,521047024,1128495532,831306315,1257629738,350168482
Nov-13,327471007,166231900,609854810,205128459,691454771,1186163027,807748231,1011171027,414611945
Dec-13,371254556,271519642,588226538,458390482,683664188,1157411965,1026233184,1199775664,803437959
Jan-14,236923776,386147531,618349603,322890233,756298727,1465786439,1030037451,818002742,418500070
Feb-14,185374986,256710661,772538811,244106373,672808980,1292673165,894574570,929990675,456802430
Mar-14,315128169,202438780,717096380,268948893,800187720,1449868117,858221568,1232249873,504750058
Apr-14,329090877,340972840,1016402462,486870073,831280660,1550240727,1014054054,2086633090,644043233
May-14,332248443,254272014,753855639,384846840,830168707,1454826833,827503456,1305422238,623089145
Jun-14,289045159,186118804,697318381,276992973,802883100,1423410023,808668329,847150995,567080975
Jul-14,287387234,230405554,953032984,428442673,802153147,1623645397,899351312,1213224769,482264046
Aug-14,258677791,143100125,926820448,323510947,817309287,1211416902,871141750,804185343,475507402
Sep-14,262278524,260159664,849697499,267883900,1035307453,1429120676,961003273,1012837410,458880360
Oct-14,377805271,321286972,1316196195,226706287,1232466573,1796266180,960706320,1779076773,841041473
Nov-14,485692857,313190965,1354672850,262856733,1288859220,2058102428,1229978345,1425362537,712496932
Dec-14,471552751,434637938,1570734979,654753467,1291447255,2078926554,1666389925,2300629310,1267778369
Jan-15,336535957,582527331,1374228339,538754100,1195737598,2107469718,1626425494,1720644730,713692314
Feb-15,256143635,321086756,2055405903,289043587,1111298693,2026719103,1513274330,1019012473,689385611
Mar-15,438077525,299017752,1600149791,560051693,1081762580,2047626454,1504387854,1745099989,807355974
Apr-15,519883714,389121094,2188264185,806066693,1316436602,2502456553,1870476791,2458286238,974379702
May-15,526706859,321044684,1908217855,474107720,1284286860,2286748150,1406332683,1594905161,793135881
Jun-15,432007692,268010815,1755058630,471163493,995427893,2447798605,1407204244,1021167828,819364213
Jul-15,438932296,297354199,2030149894,865548821,1142067440,2185382712,1688248353,1195632969,694481804
Aug-15,364822875,202310160,2088241338,425521633,1199918056,1836823072,1525956382,824136342,536431795
Sep-15,407813746,309200927,1619446185,334405253,1406257340,2134995097,1530601748,956737016,589876022
Oct-15,545928904,317288574,2138869389,526897420,1599703125,2341604318,1651692349,1985776376,979267970
Nov-15,584082766,381195049,1934596496,444186479,1599981208,2563379710,1852607851,1504502897,1453102959
Dec-15,617335210,534507371,1986078186,902610536,1469141058,2357774346,2013406842,2072092536,1580232230
Jan-16,463903336,577275443,1898922739,606729957,1347833106,2611134341,1968179129,1689435009,681110971
Feb-16,330496896,353854533,1910644612,569581462,1291918691,2226153354,1545232766,1503860142,806009415
Mar-16,516825761,368311277,1374262045,661402754,1157012485,1525920003,1403975591,1593577184,967950957
