month,アメリカ合衆国,オーストラリア,中華人民共和国,大韓民国,台湾,香港,タイ,シンガポール,インドネシア,,
Aug-12,21218807,10728782,39501147,33900247,20160647,28848571,27444347,10554253,14623765,,
Sep-12,17946591,11711259,16267053,42197471,15639300,34867288,20018624,12883824,8557724,,
Oct-12,21669476,15822100,10992829,63047535,24096447,29643647,28845029,14448159,9297835,,
Nov-12,19320253,15802329,20219376,69918500,23709618,37595200,33697912,32900271,7104800,,
Dec-12,25802962,33509959,29818888,52633688,28628371,46151788,36066324,28083247,10286235,,
Jan-13,18022000,56925618,28469941,49843982,27732059,33860124,37278982,21231524,12184576,,
Feb-13,22375124,35933976,31280753,50085506,37250735,67846524,38172488,24056971,8728194,,
Mar-13,29573800,26924788,30548082,70911135,54515282,55224794,58161959,20223865,12324059,,
Apr-13,23566609,23575618,44035471,82671600,46181424,70575512,111422118,33083347,22263171,,
May-13,27164082,16268206,44272571,75887535,43783993,63508306,84592265,64501741,17020853,,
Jun-13,28127667,12109435,29055653,59971982,38406329,58947100,35077047,19578082,14138718,,
Jul-13,26522531,12570529,61194894,68027488,44038894,70534159,77876853,16056494,9646912,,
Aug-13,26929071,10229671,51181059,60926271,43783806,54576729,48682624,21179094,11191688,,
Sep-13,29721129,16383212,47297929,61656518,43013276,53659800,44763718,29250406,5780265,,
Oct-13,29058342,18925559,45434718,83653665,54246688,62650353,97078812,22267412,9930729,,
Nov-13,27349411,17861706,55145247,89845941,60243947,78251447,68187241,38807112,13608659,,
Dec-13,37085658,33882059,59191341,85034276,61549359,81691653,78844435,53238135,31662329,,
Jan-14,23986043,69291807,55737253,83559380,86938013,107528773,51601460,39527413,22708667,,
Feb-14,28816909,49782987,95485873,87840587,128717167,101971180,96633247,31715420,16135793,,
Mar-14,35140300,27098320,99368767,102815567,86952413,92577953,109030340,53560053,17882340,,
Apr-14,37163498,32047040,111879067,117409287,91246640,113408307,178780387,40990413,35998553,,
May-14,30912498,22326447,104080727,97270840,71122307,85190980,105400400,77487020,27409433,,
Jun-14,32706121,20421333,75198897,113332493,78138308,91371129,78095286,46936821,15457753,,
Jul-14,29025865,29719533,69250429,79626747,71988106,82227655,105876516,40134858,15631467,,
Aug-14,34131696,17083880,71473060,82921920,72283098,71257329,81095836,31801323,19928387,,
Sep-14,29636915,24037700,74867582,139742980,66357252,82662846,80031727,35118501,14059533,,
Oct-14,34842505,38021037,110526420,172673627,99310620,64144046,137979576,37406552,17156173,,
Nov-14,35729781,29895241,108287896,151741273,79304503,103391672,159486092,52773633,17237673,,
Dec-14,46530311,71617545,170897016,118870800,146858240,160568922,153712221,115251364,42232913,,
Jan-15,36211880,126489595,151258795,133032587,182938551,147502989,112267586,49935009,23045140,,
Feb-15,33791995,76135462,158531820,142558660,194506026,169190735,110014935,54750499,14985980,,
Mar-15,35909539,45325605,113716671,145373367,177242417,152227391,191538160,63196646,25379260,,
Apr-15,45312435,33393200,201092548,183272467,197676835,162450949,210095171,81490669,49282353,,
May-15,49341105,30238024,168564052,169059733,174286943,112727360,181973883,63565797,33621693,,
Jun-15,44514960,27362353,163047412,114630293,214187465,144075107,134477845,62735867,33026227,,
Jul-15,46068265,34819064,184602736,128734227,225430326,195936993,125079504,61029822,60486807,,
Aug-15,39008336,20321194,189973199,125761433,166311083,142037230,119013043,47717873,13925300,,
Sep-15,42342010,31329725,112269594,120616120,168076764,158284508,108982429,44386640,15532980,,
Oct-15,44656728,38361587,141707584,185427900,157322012,161541207,205715601,66347588,38466727,,
Nov-15,43879773,43482084,163179816,161419863,177347881,169557543,153955208,79314394,46163883,,
Dec-15,47889953,86288865,167829715,139129608,196209318,206584061,201396174,148088889,68121020,,
Jan-16,42788312,106406294,168373006,91031090,205682697,178041494,166191201,74872289,36661002,,
Feb-16,45253211,83035312,188690347,117056465,257572271,247941035,188335581,68364641,43699329,,
Mar-16,42301733,45825203,96114224,125425669,176396577,142853244,240421810,72430384,52981004,,
