month,アメリカ合衆国,オーストラリア,中華人民共和国,大韓民国,香港,台湾,タイ,シンガポール
Aug-12,49613253,13761335,45435318,47774118,29116824,26358347,18879418,14779965
Sep-12,52016180,17486965,37718406,48406741,30663747,23037565,31377635,14374659
Oct-12,57344616,18244124,39953324,56771200,28548141,19123918,29253341,15680988
Nov-12,60314896,15162288,46297476,57353924,34399247,22482941,15081759,15162288
Dec-12,67191162,22593906,45401176,67789229,41075071,30766459,34289224,24551571
Jan-13,57960164,21782324,42128394,62759218,37313335,30343535,31152012,18804488
Feb-13,52346964,14128688,51490023,56739894,34732582,30138582,39549865,27351524
Mar-13,62588169,17014559,49935306,65765888,45899447,26557341,55285935,20335088
Apr-13,69486947,23497300,60013335,74188788,44442112,34379018,63258853,23459018
May-13,69070262,21877247,58942800,68303741,40129576,33280429,49669812,19396029
Jun-13,72280104,18210682,58858876,67246871,44553494,35575788,33320188,21209788
Jul-13,74803640,19638741,74803640,75107047,49589712,40482906,44126300,21687706
Aug-13,66231271,18017735,67928265,62438935,46425271,34332141,30100382,23534276
Sep-13,72592838,21257712,65870865,55284724,40986388,35874612,38120818,21303335
Oct-13,73111233,22867000,84371806,65232018,46047435,35535406,58971688,30511182
Nov-13,76580636,19977265,83335806,69472647,43650147,36118635,59225200,30144447
Dec-13,90253767,26347812,97267106,72737141,58678841,39306318,63504524,39234094
Jan-14,76083265,30821073,105631307,81627747,57182973,57635380,49308073,37138487
Feb-14,71691539,21771987,119865940,70819460,61076080,53369953,55649100,28492360
Mar-14,88358398,23250367,124506540,88385127,58353267,61300560,87860047,31956307
Apr-14,96671161,32691180,152225860,90510133,57613227,64306760,135201773,36076747
May-14,95364783,32877100,139069100,89815453,52157660,49981980,103967947,32877100
Jun-14,95643007,28408927,136285267,88167073,52237667,53606540,72907440,38276193
Jul-14,95114059,27790547,170420993,95673080,76443053,61898727,56918073,35501113
Aug-14,92941465,23624213,162407753,80090587,53295600,55181227,47634247,30616100
Sep-14,89592004,27096860,204035767,83113780,51768027,49702387,39855593,29504560
Oct-14,98036780,33052333,215477533,93009073,59157333,71258500,95771947,32623960
Nov-14,110471411,30859960,213333687,100948960,67641107,65030073,90966900,32553740
Dec-14,127150974,36575093,246313187,100619287,96856193,79198560,97092800,60701753
Jan-15,102504617,38858327,273744487,102160080,92845107,69557793,76016860,35016380
Feb-15,91523876,27363507,267681160,101375880,95171940,74633160,62566327,32228333
Mar-15,112962024,27071642,235268827,96489600,102643280,63741813,128908560,43976073
Apr-15,126284204,33037793,322215767,108161280,112068713,86311893,152605840,45510493
May-15,128159822,32933067,273849347,111787327,89793194,81506740,119951693,41772100
Jun-15,127160109,29690280,299860817,104516760,100488573,99024187,73501980,51903080
Jul-15,135105022,28384513,352077480,113503767,105022020,100674407,63502433,45169120
Aug-15,114095063,28216107,306025107,103418727,86807453,86728233,37072073,36876033
Sep-15,111904284,31355507,265337631,96454840,92106679,82154648,48772004,35492766
Oct-15,122952295,32420733,332031158,114720240,84124582,85084635,62027177,38648497
Nov-15,128453279,29842135,341111951,112378036,94971136,79525583,47193486,41729538
Dec-15,136225636,43154955,335531232,114874838,107791075,101281800,59636944,70447955
Jan-16,124343338,39051559,329607508,118555509,101344810,101371222,51551047,41087046
Feb-16,107278007,26988888,291784118,100634841,81819001,80971191,34901989,32995917
Mar-16,104338548,23395070,212568264,86703648,52596491,57929096,43030649,29943938
