,アメリカ合衆国,オーストラリア,中華人民共和国,大韓民国,台湾,香港,タイ,シンガポール,インドネシア
Aug-12,25509642,6491812,121364512,29639535,54666182,103333465,190987847,67594176,37627176
Sep-12,33827844,20109253,60984200,33498312,39720653,133200729,189549500,28729159,11574547
Oct-12,4761338,19860029,76530171,29466506,77248200,55377812,201243241,63104065,50025000
Nov-12,35244531,27552788,71024371,62195924,51229594,82630294,212380918,75475412,52507947
Dec-12,49937991,44062718,44402835,81554259,84359500,106018535,392102194,142346012,48893371
Jan-13,31391913,43829835,115782229,51039871,141483929,89785382,410345259,111186941,626377329
Feb-13,37716640,21403659,113440759,55384465,225443924,191687759,424859071,122827676,40646329
Mar-13,53972709,32689482,83729194,114092371,153401429,199272782,607058800,80222159,37719682
Apr-13,108925202,58147012,140270759,122663741,146925318,303383753,1621432441,262874171,85548000
May-13,74931291,31311447,105620124,85419312,135114994,340419641,858623459,186826959,45392259
Jun-13,82238282,29450794,90350171,74654771,148670476,207501171,403632994,141306918,64565782
Jul-13,57654291,11361059,121887047,50157800,153382288,268838876,569087482,66132094,58408147
Aug-13,54675260,18363253,160140418,75516665,66617371,186082582,384621082,125042600,150283341
Sep-13,50731049,23503376,152232759,76307271,161849524,309164635,392582412,91589841,7699694
Oct-13,74984789,36589888,281094194,112230935,127028347,274065529,510236682,166027788,74409600
Nov-13,82279056,18250112,128721159,87166800,182872041,256669365,671570935,203021794,91277724
Dec-13,123112511,26279282,183682335,106607965,289367024,401075882,883174006,286222988,107238282
Jan-14,65001537,41331093,306883167,108975207,222763193,259241293,495994227,15701200,63865400
Feb-14,68651159,40434653,301357547,123245413,177891520,298399427,392249967,213782733,44693407
Mar-14,99039209,26915647,293932093,92030480,243154727,215425820,620510320,145200260,64567487
Apr-14,112179385,71458627,379874367,129949647,185357520,270579613,1133254740,251401580,191690800
May-14,106897693,24114867,275447213,74686627,158412680,140905633,659777273,209567627,157528027
Jun-14,79733950,43272167,234621800,106073507,174384493,297955907,531815653,142452640,89849840
Jul-14,88989385,54872507,393267960,107355353,161007267,456288509,615585520,199042833,116239560
Aug-14,62413002,21142640,384071207,124318613,225709614,144327840,549596873,184736827,93861873
Sep-14,127333417,41630073,390773253,130540453,221451835,234504627,721241413,220689320,82331873
Oct-14,144582763,31580100,429170327,129205313,289772673,256825208,1031629029,333928190,88916460
Nov-14,166908461,43971618,582410307,170036613,379289218,554326245,1036014596,344684400,196278987
Dec-14,201710107,60221852,611602607,136334460,327737071,874466532,1296502587,719974440,289025893
Jan-15,133281573,71029253,716002600,155044360,346315138,1079380022,1908330960,260324305,231076533
Feb-15,115547018,36630536,1086640655,175405533,299908042,864264753,815953111,317749440,65262740
Mar-15,165387551,56014091,728834318,128082627,362510181,731777265,1015455293,252727020,127827080
Apr-15,229567580,66343067,1103837560,218471193,396805716,504965224,1768747033,483549169,299027407
May-15,196889023,45295824,1104465075,183230513,385067193,544353654,781486017,392259943,173081852
Jun-15,177895238,40668821,1231376648,145233940,669809410,766610901,508719517,311432333,251641207
Jul-15,141136669,47640197,1062310879,164622785,361544648,628632932,613214659,309365596,342074980
Aug-15,142928207,34106120,1104961450,127936860,253840360,556351792,384610320,217316864,123079627
Sep-15,157109615,42487666,952535916,193789138,337090150,496274613,283663155,150140925,95631407
Oct-15,186843708,42540029,1024325139,137417593,276198360,738545972,798946349,327580191,203434640
Nov-15,170156789,53908340,582727366,154001660,284565189,686181170,713229841,362726519,261717980
Dec-15,203637452,89839821,710379181,150372017,384318068,838602406,1209754686,505239353,404991504
Jan-16,82329679,83460095,900766617,170299447,331264691,478732808,526863249,219039640,254156365
Feb-16,91785450,26954058,740688025,132498817,227341162,470898777,460191730,200182755,149300234
Mar-16,128755589,47281075,651770759,100712978,34755754,374709287,448615075,209997578,213453093
